Allergy,"Related Foods"
Peanut Allergy,"Peanuts, peanut butter, peanut oil"
Tree Nut Allergy,"Almonds, walnuts, cashews, hazelnuts, pecans, pistachios"
Milk Allergy,"Cow's milk, cheese, yogurt, ice cream, butter, cream"
Egg Allergy,"Eggs, mayonnaise, egg-based sauces, meringue"
Wheat Allergy,"Wheat, bread, pasta, baked goods, cookies, crackers"
Soy Allergy,"Soybeans, tofu, soy sauce, edamame"
Fish Allergy,"Salmon, tuna, cod, mackerel, sardines, anchovies"
Shellfish Allergy,"Shrimp, crab, lobster, clams, oysters, scallops"
Sesame Allergy,"Sesame seeds, sesame oil, tahini, hummus"
Corn Allergy,"Corn, corn syrup, corn starch, popcorn"
Gluten Allergy,"Wheat, barley, rye, malt, some sauces"
Mold Allergy,"Moldy foods, aged cheeses, fermented foods, soy sauce"
Dust Mite Allergy,"Dairy products, shellfish, nuts (in some cases)"
Latex Allergy,"Avocado, banana, kiwi, chestnuts, rubber products"
Fruit Allergy,"Stone fruits (peaches, cherries), apples, pears, plums"
Vegetable Allergy,"Celery, carrots, potatoes, garlic, tomatoes"
Pollen Allergy,"Apples, cherries, peaches, celery, melons"
Red Meat Allergy,"Beef, lamb, pork (due to alpha-gal syndrome)"
Honey Allergy,"Raw honey, honeycomb"
Citrus Allergy,"Oranges, lemons, limes, grapefruits"
Garlic Allergy,"Garlic, garlic powder, garlic salt"
Soy Lecithin Allergy,"Chocolate, baked goods, margarine"
Nightshade Allergy,"Tomatoes, potatoes, eggplants, peppers"
Banana Allergy,"Bananas, banana chips, banana-flavored products"
Beef Allergy,"Beef, gelatin, beef broth"
Rice Allergy,"Rice, rice milk, rice flour"
Potato Allergy,"Potatoes, potato chips, potato flour"
Kiwi Allergy,"Kiwi, kiwi juice, kiwi-flavored products"
Sesame Oil Allergy,"Sesame oil, sesame seeds"
Chocolate Allergy,"Chocolate, cocoa, chocolate-flavored foods"
Chickpea Allergy,"Chickpeas, hummus, falafel"
Sunflower Seed Allergy,"Sunflower seeds, sunflower oil"
Coconut Allergy,"Coconut, coconut milk, coconut oil"
Avocado Allergy,"Avocado, guacamole, avocado oil"
Pork Allergy,"Pork, bacon, ham"
Lentil Allergy,"Lentils, lentil soup, lentil-based products"
Seafood Allergy,"All types of seafood, fish sauces"
Nutritional Yeast Allergy,"Nutritional yeast, some vegan products"
Mustard Allergy,"Mustard seeds, mustard sauces"
Quinoa Allergy,"Quinoa, quinoa flour"
Buckwheat Allergy,"Buckwheat, buckwheat flour"
Gelatin Allergy,"Gelatin, marshmallows, gummy candies"
Tomato Allergy,"Tomatoes, tomato sauce, ketchup"
Carrot Allergy,"Carrots, carrot juice"
Cabbage Allergy,"Cabbage, coleslaw, sauerkraut"
Pea Allergy,"Peas, pea protein, pea soup"
Apple Allergy,"Apples, apple juice, applesauce"
Bell Pepper Allergy,"Bell peppers, pepper flakes"
Cabbage Allergy,"Cabbage, sauerkraut"
Oat Allergy,"Oats, oat flour"
Pine Nut Allergy,"Pine nuts, pesto"
Safflower Oil Allergy,"Safflower oil, some dressings"
Basil Allergy,"Basil, pesto"
Cinnamon Allergy,"Cinnamon, cinnamon rolls"
Nutmeg Allergy,"Nutmeg, spice blends"
Clove Allergy,"Cloves, spice blends"
Turmeric Allergy,"Turmeric, curry powder"
Ginger Allergy,"Ginger, ginger ale"
Peach Allergy,"Peaches, peach juice"
