Disease,Foods to Avoid
Diabetes,"Sugary foods, white bread, pastries, sugary drinks"
Hypertension,"Salty foods, processed meats, canned soups"
Heart Disease,"Trans fats, red meat, fried foods, high-sugar foods"
Celiac Disease,"Gluten-containing grains (wheat, barley, rye)"
Lactose Intolerance,"Dairy products (milk, cheese, yogurt)"
Gout,"Red meat,organ meats, shellfish, sugary beverages"
Acid Reflux,"Spicy foods, chocolate, caffeine, alcohol"
Kidney Disease,"High potassium foods (bananas, oranges), high phosphorus foods (nuts, seeds)"
Irritable Bowel Syndrome,"High-fat foods, dairy, caffeine, artificial sweeteners"
Allergies (Nuts),"Peanuts, tree nuts"
Asthma,"Sulfites (found in dried fruits, wine)"
Osteoporosis,"High-sodium foods, caffeine"
Gallbladder Disease,"Fatty foods, fried foods, refined carbs"
Pancreatitis,"High-fat foods, alcohol"
Crohn’s Disease,"High-fiber foods, dairy, greasy foods"
Ulcerative Colitis,"High-fiber foods, dairy, spicy foods"
High Cholesterol,"Saturated fats, trans fats, processed foods"
Hypothyroidism,"Soy products, cruciferous vegetables (in large amounts)"
Candida Overgrowth,"Sugar, refined grains, alcohol"
Acne,"Dairy products, high-glycemic index foods"
Migraines,"Aged cheese, chocolate, caffeine, alcohol"
SIBO (Small Intestinal Bacterial Overgrowth),"High-fiber foods, grains"
Constipation,"Low-fiber foods, dairy"
Bloating,"Carbonated drinks, beans, dairy"
IBS (Irritable Bowel Syndrome),"High-fat foods, gluten"
Diverticulitis,"Nuts, seeds, popcorn"
Non-Alcoholic Fatty Liver Disease,"Sugary foods, refined carbs, alcohol"
Obesity,"Sugary drinks, fast food, high-calorie snacks"
Anxiety,"Caffeine, alcohol, sugar"
Depression,"Sugar, refined carbs, trans fats"
Thyroid Disorders,"Soy products, cruciferous vegetables (in excess)"
Arthritis,"Nightshade vegetables (potatoes, tomatoes)"
Eczema,"Dairy products, gluten, processed foods"
Rheumatoid Arthritis,"High-sugar foods, processed foods"
Multiple Sclerosis,"Processed foods, saturated fats"
Parkinson’s Disease,"High-fat dairy products, processed meats"
Fibromyalgia,"Caffeine, gluten, sugar"
Chronic Fatigue Syndrome,"Sugar, refined carbs"
Food Allergies,"Allergenic foods (nuts, shellfish, dairy)"
Nausea (Pregnancy),"Spicy foods, fatty foods, strong-smelling foods"
