Disease/Symptom,Symptoms,Recommended Foods,Not Recommended Foods
Cold,Sneezing|Sore throat|Cough|Runny nose,Citrus fruits|Ginger|Garlic|Honey,Sugary foods|Alcohol
Flu,Fever|Body aches|Chills|Cough,Broth-based soups|Ginger|Garlic|Honey|Turmeric,Fried foods|Dairy|Sugary foods
Hypertension,High blood pressure|Headache|Dizziness,Leafy greens|Berries|Oats,Salt|Processed foods|Alcohol
Diabetes,Frequent urination|Excessive thirst|Fatigue,Whole grains|Leafy greens|Berries,Sugary foods|White bread
Anemia,Fatigue|Dizziness|Pale skin,Red meat|Dark leafy greens|Lentils,Tea|Coffee|Dairy
Asthma,Shortness of breath|Wheezing|Cough,Apples|Bananas|Spinach,Sugary foods|Fried foods
Allergies,Sneezing|Itchy eyes|Rash,Quinoa|Brown rice|Green tea,Processed foods|Dairy
Heart Disease,Chest pain|Fatigue|Shortness of breath,Oats|Salmon|Walnuts,Saturated fats|Trans fats
Gout,Joint pain|Swelling|Redness,Cherries|Low-fat dairy|Green vegetables,Red meat|Organ meats|Sugary beverages
Kidney Disease,Swelling|Fatigue|Shortness of breath,Apples|Cauliflower|Blueberries,High potassium foods|High phosphorus foods
Irritable Bowel Syndrome,Abdominal pain|Bloating|Diarrhea|Constipation,Oats|Bananas|Rice,Fried foods|Dairy
Disease/Symptom,Symptoms,Recommended Foods,Not Recommended Foods
Migraine,Severe headache|Nausea|Sensitivity to light,Spinach|Quinoa|Almonds,Caffeinated beverages|Aged cheeses
Celiac Disease,Diarrhea|Bloating|Fatigue,Gluten-free grains|Fruits|Vegetables,Gluten-containing foods|Processed foods
Arthritis,Joint pain|Stiffness|Swelling,Fatty fish|Olive oil|Nuts,Refined carbs|Sugary snacks
Chronic Fatigue Syndrome,Fatigue|Muscle pain|Sleep disturbances,Quinoa|Sweet potatoes|Spinach,Caffeinated drinks|Alcohol
Acid Reflux,Heartburn|Regurgitation|Dysphagia,Oatmeal|Bananas|Ginger,Spicy foods|Chocolate|Citrus
