ID,name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
167536,Snacks Beef Jerky Chopped And Formed,Snacks,410.0,25.6,33.2,11.0,9.0,1.8,48.0,10.85,20.0,5.42,597.0,51.0,0.0,0.0,0.0,0.99,0.3,0.49,,9.2,23.36,185.0,810.0,17.129,,,,,,,,,,,,407.0,1785.0,8.11,0.227,0.111,10.7,,,,0.154,0.142,1.732,0.163,0.179,,134.0,0.0,134.0,134.0,109.1,,0.0,0.0,0.0,0.0,0.0,,0.3,11.0,2.3,,,11305.0,1011.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,28.4,1 oz,20.0,"1 piece, large",28.4,1 oz,,,,,,,,,,,,,48.78
167570,Confectioners Coating Peanut Butter,Sweets,529.0,29.8,18.3,46.88,38.3,5.0,1.0,13.12,110.0,1.7,505.0,110.0,1.0,0.0,0.3,0.2,0.0,1.36,,41.88,2.67,32.0,1949.0,5.459,1.763,,,,,,,,,,,310.0,250.0,2.0,0.4,1.4,3.9,,,,0.232,0.2,8.2,1.056,0.17,,77.0,0.0,77.0,77.0,30.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,7.3,,,12829.0,2053.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,168.0,1 cup chips,28.4,1 oz,,,,,,,,,,,,,,,37.807
167615,Fish Salmon King Chinook Smoked Brined (Alaska Native),American Indian,430.0,30.0,39.9,0.0,,0.0,107.0,6.97,23.0,4.5,700.0,,527.0,,,,,,,0.0,23.6,0.0,350.0,,,,,,,,,,,,,,693.0,,,,,,,,0.06,0.28,11.8,,,,,,,,,,,,,,,,,,,,,16900.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.512
167654,Smelt Dried (Alaska Native),American Indian,386.0,17.9,56.19,0.0,0.0,0.0,249.0,3.59,1600.0,5.4,1000.0,89.0,463.0,139.0,,19.1,,4.51,,0.0,16.92,2400.0,217.0,35.092,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1400.0,420.0,6.7,0.148,0.72,194.0,,,,0.073,0.262,5.97,2.29,0.176,,,,,,,,139.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.6,6860.0,2884.0,,910.0,140.0,1220.0,510.0,2390.0,2150.0,3820.0,3690.0,1240.0,460.0,2010.0,1570.0,2660.0,3100.0,1010.0,3520.0,4810.0,6660.0,3280.0,2360.0,2450.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,51.813
167694,Turkey And Pork Sausage Fresh Bulk Patty Or Link Cooked,Meats,307.0,23.0,22.7,0.7,0.0,0.0,84.0,7.95,32.0,1.62,337.0,19.0,0.0,0.0,1.1,1.26,2.0,0.39,,0.7,50.9,35.0,2760.0,10.164,,,,,,,,,,,,191.0,878.0,3.17,0.148,,21.0,,,,0.51,0.25,4.22,,0.34,,4.0,0.0,4.0,4.0,79.9,4.3,0.0,0.0,0.0,0.0,0.0,,2.0,79.0,5.7,,,9719.0,3250.0,,0.0,14.0,21.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,130.0,"1 cup, cooked",28.0,1 oz,21.0,"1 oz cooked, yield",25.0,"1 patty, cooked",,,,,,,,,,,65.147
167705,Grated Parmesan Cheese (Low-Sodium),Dairy and Egg Products,451.0,29.99,41.6,3.7,0.85,0.0,79.0,19.051,800.0,0.95,107.0,51.0,463.0,125.0,0.0,1.4,0.6,0.27,,3.7,22.2,340.0,320.0,36.244,,,,,,,,,,,,807.0,63.0,3.19,0.037,,23.9,,,,0.04,0.39,0.32,,0.1,,10.0,0.0,10.0,10.0,15.4,,123.0,32.0,0.0,0.0,0.0,,0.6,22.0,2.0,,,8721.0,659.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,100.0,"1 cup, grated",5.0,1 tbsp,,,,,,,,,,,,,,,44.346
167712,Pork Cured Bacon Cooked Broiled Pan-Fried Or Roasted Reduced Sodium,Meats,541.0,41.78,37.04,1.43,0.0,0.0,110.0,13.739,11.0,1.44,565.0,33.0,37.0,11.0,0.0,1.23,1.0,0.31,,1.43,12.32,200.0,4194.0,24.938,0.0,,,,,,,,,,,533.0,1030.0,3.5,0.164,0.022,62.0,,,,0.404,0.264,11.099,1.171,0.349,,2.0,0.0,2.0,2.0,123.2,3.5,11.0,0.0,0.0,0.0,0.0,,1.0,42.0,0.1,0.0,,18520.0,4548.0,200.0,0.0,0.0,0.0,310.0,1450.0,1737.0,2884.0,3072.0,824.0,412.0,1469.0,1159.0,1971.0,2398.0,1392.0,2370.0,3484.0,5452.0,2600.0,2031.0,1408.0,650.0,0.0,0.0,0.0,8.0,1 slice cooked,,,,,,,,,,,,,,,,,36.969
167854,Pork Spare Ribs,Meats,397.0,30.3,29.06,0.0,0.0,0.0,121.0,11.12,47.0,1.85,320.0,24.0,10.0,3.0,0.0,1.08,2.6,0.34,,0.0,40.42,110.0,2510.0,15.902,,,,,,,,,,,,261.0,93.0,4.6,0.142,0.014,37.4,,,,0.408,0.382,5.475,0.75,0.35,,4.0,0.0,4.0,4.0,99.9,3.9,3.0,0.0,0.0,0.0,0.0,,2.6,104.0,0.0,0.0,,13480.0,2730.0,,0.0,0.0,0.0,369.0,1327.0,1361.0,2332.0,2613.0,769.0,371.0,1160.0,1013.0,1577.0,1806.0,1161.0,1693.0,2695.0,4549.0,1380.0,1167.0,1200.0,,0.0,0.0,0.0,85.0,3 oz,177.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",,,,,,,,,,,,,,,50.378
167881,Pork Fresh Variety Meats And By-Products Tail Cooked Simmered,Meats,396.0,35.8,17.0,0.0,,0.0,129.0,12.45,14.0,0.79,157.0,7.0,0.0,0.0,0.0,0.55,,,,0.0,46.7,300.0,3410.0,6.39,,,,,,,,,,,,47.0,25.0,1.64,0.067,0.006,3.1,,,,0.07,0.07,1.12,0.423,0.27,,4.0,0.0,4.0,4.0,,,0.0,,,,,,,,,,,16890.0,3940.0,,0.0,0.0,0.0,102.0,595.0,391.0,952.0,1020.0,306.0,220.0,510.0,340.0,510.0,1173.0,306.0,1258.0,1428.0,2193.0,2261.0,1428.0,731.0,,0.0,,,85.0,3 oz,275.0,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",,,,,,,,,,,,,,,50.505
167897,Country-Style Roasted Pork Ribs,Meats,359.0,29.46,21.75,0.0,0.0,0.0,91.0,10.689,25.0,1.0,322.0,22.0,8.0,2.0,0.3,0.76,1.8,0.0,,0.0,48.38,6.0,2691.0,10.878,0.048,,,,,,,,,,,214.0,52.0,2.2,0.057,0.003,34.5,,,,0.82,0.329,4.196,0.726,0.419,,4.0,0.0,4.0,4.0,3.3,0.2,2.0,0.0,0.0,0.0,0.0,,1.8,72.0,0.0,0.0,,12825.0,2972.0,,0.0,4.0,2.0,275.0,992.0,1019.0,1747.0,1955.0,577.0,276.0,869.0,761.0,1177.0,1354.0,870.0,1266.0,2018.0,3402.0,1031.0,874.0,899.0,2.0,0.0,0.0,0.0,138.0,1 rack,,,,,,,,,,,,,,,,,55.71
