jDisease,Recommended Exercise,Avoid
Cold,Gentle stretching|walking,High-intensity workouts during active symptoms
Flu,Rest|light stretching after symptoms improve,Intense physical activity until recovery
Hypertension (High Blood Pressure),Brisk walking|swimming|cycling|yoga,Heavy weight lifting without supervision
Diabetes,Walking|cycling|strength training,High-impact exercises that may risk injury without proper control
Anemia,Walking|yoga|pilates,High-intensity or endurance exercises until iron levels are managed
Asthma,Swimming|walking|cycling (monitor breathing),Outdoor running in cold or polluted environments
Allergies,Indoor yoga|stretching,Outdoor exercise when allergens are high
Heart Disease,Walking|light strength training|swimming,High-intensity interval training without doctor approval
Gout,Low-impact exercises (swimming|cycling),High-impact exercises during flare-ups
Kidney Disease,Walking|light resistance training,Strenuous exercises that may strain kidneys
Irritable Bowel Syndrome (IBS),Yoga|walking|swimming,Exercises that cause jarring movements like running
Migraine,Walking|yoga|swimming,Strenuous activities during a migraine
Celiac Disease,Walking|swimming|strength training,Exercise immediately after meals
Arthritis,Swimming|walking|light strength training,High-impact exercises that stress joints
Chronic Fatigue Syndrome,Gentle stretching|walking|yoga,Intense exercise that exacerbates fatigue
Acid Reflux,Walking|yoga (avoid inversions),Intense core exercises (especially after eating)
Cholesterol,Brisk walking|cycling|strength training,Sedentary lifestyle
Pneumonia,Rest during acute phase|light walking after recovery,Intense physical activity during infection
Thyroid Problems,Walking|strength training|yoga,Extreme intensity exercises (consult doctor)
Peptic Ulcer,Walking|yoga (no core strain),Exercises that cause abdominal pressure
Kidney Stones,Walking|swimming,Strenuous exercises during pain episodes
Psoriasis,Walking|swimming (saltwater pools preferred)|yoga,High-sweat exercises that may irritate skin
Depression,Walking|jogging|swimming|yoga,Overtraining or exercises without enjoyment
Anxiety,Yoga|swimming|walking|tai chi,Competitive or high-stress exercises
Acne,Walking|swimming,Sweaty or friction-heavy exercises (clean skin afterward)
Eczema,Swimming (in saltwater pools)|walking,Activities that lead to heavy sweating or skin irritation
Osteoporosis,Weight-bearing exercises (walking|strength training),High-impact activities that risk falls or fractures
Parkinson's Disease,Cycling|walking|tai chi,High-risk activities requiring quick reflexes
Bipolar Disorder,Walking|yoga|swimming,High-intensity activities during mood swings
Autism Spectrum Disorder,Swimming|walking|yoga (focus on enjoyment),Overstimulating environments
ADHD,Structured physical activities (martial arts|team sports)|walking,Overly repetitive exercises without engagement
Alzheimer's Disease,Walking|swimming|tai chi (focus on coordination),Highly complex or unfamiliar routines
PTSD,Yoga|walking|tai chi,Overly stressful or adrenaline-inducing activities
Schizophrenia,Walking|yoga|swimming,High-stress competitive activities
COPD,Walking|cycling|swimming,High-intensity exercises that strain breathing
Tuberculosis,Walking|light stretching after recovery,Strenuous activities during illness
Hepatitis,Walking|yoga|light resistance training,High-intensity training during active symptoms
Bacterial Infections,Rest during illness|light walking post-recovery,Intense exercises during active infection
Viral Infections,Rest|light walking during recovery,Vigorous physical activity until symptoms subside
Candidiasis,Walking|yoga,Intense sweaty activities that promote fungal growth
Fibromyalgia,Swimming|yoga|walking,High-impact or overly strenuous exercises
Obesity,Walking|swimming|cycling|strength training,Exercises that cause joint strain without proper support
